Year,Date,Designatedvisitor,Score,Designatedhome team,Score.1,Stadium,Attendance,Pre-game show
2007,October 28,New York Giants,13,Miami Dolphins,10,Wembley Stadium,81176,The Feeling[43]
2008,October 26,San Diego Chargers,32,New Orleans Saints,37,Wembley Stadium,83226,Stereophonics[43]
2009,October 25,New England Patriots,35,Tampa Bay Buccaneers,7,Wembley Stadium,84254,Calvin Harris[43]
2010,October 31,Denver Broncos,16,San Francisco 49ers,24,Wembley Stadium,83941,My Chemical Romance[43]
2011,October 23,Chicago Bears,24,Tampa Bay Buccaneers,18,Wembley Stadium,76981,Goo Goo Dolls[43]
2012,October 28,New England Patriots,45,St. Louis Rams,7,Wembley Stadium,84004,Train[44]
2013,September 29,Pittsburgh Steelers,27,Minnesota Vikings,34,Wembley Stadium,83518,Tinie Tempah[45]
2013,October 27,San Francisco 49ers,42,Jacksonville Jaguars,10,Wembley Stadium,83559,Ne-Yo[46]
2014,September 28,Miami Dolphins,38,Oakland Raiders,14,Wembley Stadium,83436,Def Leppard[47]
2014,October 26,Detroit Lions,22,Atlanta Falcons,21,Wembley Stadium,83532,Little Mix[48]
2014,November 9,Dallas Cowboys,31,Jacksonville Jaguars,17,Wembley Stadium,83603,Joss Stone[49]
2015,October 4,New York Jets,27,Miami Dolphins,14,Wembley Stadium,83986,None
2015,October 25,Buffalo Bills,31,Jacksonville Jaguars,34,Wembley Stadium,84021,The Ohio State University Marching Band[50]
2015,November 1,Detroit Lions,10,Kansas City Chiefs,45,Wembley Stadium,83624,Madness[51]
2016,October 2,Indianapolis Colts,27,Jacksonville Jaguars,30,Wembley Stadium,83798,Robin Thicke
2016,October 23,New York Giants,17,Los Angeles Rams,10,Twickenham Stadium,74121,Craig David[52]
2016,October 30,Washington Redskins,27,Cincinnati Bengals,27,Wembley Stadium,84448,Wessex Male Choir & US Army Europe band
2017,September 24,Baltimore Ravens,7,Jacksonville Jaguars,44,Wembley Stadium,84592,None
2017,October 1,New Orleans Saints,20,Miami Dolphins,0,Wembley Stadium,84423,None
2017,October 22,Arizona Cardinals,0,Los Angeles Rams,33,Twickenham Stadium,73736,None
2017,October 29,Minnesota Vikings,33,Cleveland Browns,16,Twickenham Stadium,74237,None
2018,October 14,Seattle Seahawks,27,Oakland Raiders,3,Wembley Stadium,84922,Jess Glynne[55]
2018,October 21,Tennessee Titans,19,Los Angeles Chargers,20,Wembley Stadium,84301,None
2018,October 28,Philadelphia Eagles,24,Jacksonville Jaguars,18,Wembley Stadium,85870,None
2019,October 6,Chicago Bears,21,Oakland Raiders,24,Tottenham Hotspur Stadium,60463,AJ Tracey[58][n 1]
2019,October 13,Carolina Panthers,37,Tampa Bay Buccaneers,26,Tottenham Hotspur Stadium,60087,None
2019,October 27,Cincinnati Bengals,10,Los Angeles Rams,24,Wembley Stadium,83720,None
2019,November 3,Houston Texans,26,Jacksonville Jaguars,3,Wembley Stadium,84771,None
