Years,Capacity,URL
1972–1983,80020,https://en.wikipedia.org/wiki/Bills_Stadium
1984–1994,80290,https://en.wikipedia.org/wiki/Bills_Stadium
1995–1998,80024,https://en.wikipedia.org/wiki/Bills_Stadium
1999–2000,75339,https://en.wikipedia.org/wiki/Bills_Stadium
2001–2007,73967,https://en.wikipedia.org/wiki/Bills_Stadium
2008–2013,73079,https://en.wikipedia.org/wiki/Bills_Stadium
2014,71857,https://en.wikipedia.org/wiki/Bills_Stadium
2015,71870,https://en.wikipedia.org/wiki/Bills_Stadium
2016–present,71608,https://en.wikipedia.org/wiki/Bills_Stadium
1987–1988,74993,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1989–1992,73000,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1993–1997,74916,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1998–2000,75192,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2001–2014,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2015–present,64767,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1971,61114,https://en.wikipedia.org/wiki/Foxboro_Stadium
1972,60999,https://en.wikipedia.org/wiki/Foxboro_Stadium
1973–1977,61279,https://en.wikipedia.org/wiki/Foxboro_Stadium
1978–1983,61297,https://en.wikipedia.org/wiki/Foxboro_Stadium
1984–1987,60890,https://en.wikipedia.org/wiki/Foxboro_Stadium
1988–1994,60794,https://en.wikipedia.org/wiki/Foxboro_Stadium
1995–2002,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
1976–1990,76891,https://en.wikipedia.org/wiki/Giants_Stadium
1991–1993,77311,https://en.wikipedia.org/wiki/Giants_Stadium
1994,77121,https://en.wikipedia.org/wiki/Giants_Stadium
1995–1998,78148,https://en.wikipedia.org/wiki/Giants_Stadium
1999–2001,79469,https://en.wikipedia.org/wiki/Giants_Stadium
2002–2010,80242,https://en.wikipedia.org/wiki/Giants_Stadium
1950–1952,31000,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1953–1957,52060,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1958–1959,57557,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1960,57808,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1961,57641,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1962,57966,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1963,60065,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1964,60213,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1965–1969,60238,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1970–1975,60240,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1976–1980,60020,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1981–1995,60586,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1996–1997,65248,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1970–1980,56200,https://en.wikipedia.org/wiki/Cinergy_Field
1981–1991,59754,https://en.wikipedia.org/wiki/Cinergy_Field
1992–1999,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1932–1946,83000,https://en.wikipedia.org/wiki/Cleveland_Stadium
1947,77563,https://en.wikipedia.org/wiki/Cleveland_Stadium
1948–1951,77707,https://en.wikipedia.org/wiki/Cleveland_Stadium
1952–1961,78207,https://en.wikipedia.org/wiki/Cleveland_Stadium
1962–1964,78166,https://en.wikipedia.org/wiki/Cleveland_Stadium
1965,77096,https://en.wikipedia.org/wiki/Cleveland_Stadium
1966,77124,https://en.wikipedia.org/wiki/Cleveland_Stadium
1967–1974,79282,https://en.wikipedia.org/wiki/Cleveland_Stadium
1975–1976,80165,https://en.wikipedia.org/wiki/Cleveland_Stadium
1977,80233,https://en.wikipedia.org/wiki/Cleveland_Stadium
