original_column,URL,Capacity,Years
"72,220 (2018–present)",https://en.wikipedia.org/wiki/NRG_Stadium,"72,220",2018–present
"71,795 (2014–2017)",https://en.wikipedia.org/wiki/NRG_Stadium,"71,795",2014–2017
"71,054 (2003–2013)",https://en.wikipedia.org/wiki/NRG_Stadium,"71,054",2003–2013
"69,500 (2002)",https://en.wikipedia.org/wiki/NRG_Stadium,"69,500",2002
"Expandable to 80,000 for special events",https://en.wikipedia.org/wiki/NRG_Stadium,"80,000",
"American football: 80,000 (expandable to 105,000)",https://en.wikipedia.org/wiki/AT%26T_Stadium,"80,000",
"76,125 (football)",https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High,"76,125",
"up to 60,000 (concerts)",https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High,"60,000",
"Full stadium: 67,277 (such as for NFL games)",https://en.wikipedia.org/wiki/The_Dome_at_America%27s_Center,"67,277",
"
Half stadium: 40,000 (such as for basketball games)",https://en.wikipedia.org/wiki/The_Dome_at_America%27s_Center,"40,000",
"82,500",https://en.wikipedia.org/wiki/MetLife_Stadium,"82,500",
"66,944 (1994)",https://en.wikipedia.org/wiki/Soldier_Field,"66,944",1994
"61,500 (2003)",https://en.wikipedia.org/wiki/Soldier_Field,"61,500",2003
"82,000+",https://en.wikipedia.org/wiki/Pontiac_Silverdome,"82,000",
"80,311 (Football & soccer)",https://en.wikipedia.org/wiki/Pontiac_Silverdome,"80,311",
"69,796",https://en.wikipedia.org/wiki/Lincoln_Financial_Field,"69,796",
"American Football: 71,000 ",https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,"71,000",
"(Expandable to 75,000)",https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,"75,000",
"Soccer: 42,500",https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,"42,500",
"(Expandable to 71,000, standing room to at least 73,019)",https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,"71,000",
"53,599 (2018–present)",https://en.wikipedia.org/wiki/Sun_Devil_Stadium,"53,599",2018–present
"71,008 (2007–present)",https://en.wikipedia.org/wiki/M%26T_Bank_Stadium,"71,008",2007–present
"70,107 (2005–2006)",https://en.wikipedia.org/wiki/M%26T_Bank_Stadium,"70,107",2005–2006
"69,084 (1999–2004)",https://en.wikipedia.org/wiki/M%26T_Bank_Stadium,"69,084",1999–2004
"68,400 (1998)",https://en.wikipedia.org/wiki/M%26T_Bank_Stadium,"68,400",1998
"55,524 (1923–1929)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Champaign),"55,524",1923–1929
"71,119 (1930–1963)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Champaign),"71,119",1930–1963
