Date played,Stadium,Visiting team,Home team,Rationale,URL
"October 10, 1921",Staley Field ,Rock Island Independents url:https://en.wikipedia.org/wiki/1921_Rock_Island_Independents_season,Chicago Staleys url:https://en.wikipedia.org/wiki/1921_Chicago_Staleys_season,"Although the Staleys moved from Decatur, Illinois url:https://en.wikipedia.org/wiki/Decatur,_Illinois to Chicago prior to the 1921 season, they decided to play a home game in their old city and stadium.",https://en.wikipedia.org/wiki/Staley_Field
"December 18, 1932",Chicago Stadium ,Portsmouth Spartans url:https://en.wikipedia.org/wiki/1932_Portsmouth_Spartans_season,Chicago Bears url:https://en.wikipedia.org/wiki/1932_Chicago_Bears_season,"The 1932 NFL playoff game url:https://en.wikipedia.org/wiki/NFL_Playoff_Game,_1932 was moved indoors because of severe blizzards in Chicago.",https://en.wikipedia.org/wiki/Chicago_Stadium
"September 22, 1968","Legion Field, Birmingham, Ala. ",New York Jets url:https://en.wikipedia.org/wiki/1968_New_York_Jets_season,Boston Patriots url:https://en.wikipedia.org/wiki/1968_Boston_Patriots_season,"Boston Red Sox refused to rent Fenway Park url:https://en.wikipedia.org/wiki/Fenway_Park to Boston Patriots until American League Championship Season and, if necessary, World Series concluded.",https://en.wikipedia.org/wiki/Legion_Field
"October 5, 1969",Grant Field ,Baltimore Colts url:https://en.wikipedia.org/wiki/1969_Baltimore_Colts_season,Atlanta Falcons url:https://en.wikipedia.org/wiki/1969_Atlanta_Falcons_season,A baseball playoff game hosted by the Atlanta Braves url:https://en.wikipedia.org/wiki/Atlanta_Braves forced the Falcons to move their contest from Fulton County Stadium.,https://en.wikipedia.org/wiki/Grant_Field
"October 5, 1969",Memorial Stadium ,Green Bay Packers url:https://en.wikipedia.org/wiki/Green_Bay_Packers,Minnesota Vikings url:https://en.wikipedia.org/wiki/1969_Minnesota_Vikings_season,A baseball playoff game hosted by the Minnesota Twins url:https://en.wikipedia.org/wiki/Minnesota_Twins forced the Vikings to move their contest from Metropolitan Stadium.,https://en.wikipedia.org/wiki/Memorial_Stadium_(University_of_Minnesota)
"September 27, 1970",Dyche Stadium ,Philadelphia Eagles url:https://en.wikipedia.org/wiki/1970_Philadelphia_Eagles_season,Chicago Bears url:https://en.wikipedia.org/wiki/1970_Chicago_Bears_season,"As part of a trial run. In 1970, the NFL ruled that all teams must play in stadiums that seated more than 50,000 fans, and the Bears were forced to leave Wrigley Field url:https://en.wikipedia.org/wiki/Wrigley_Field. Ultimately, a deal to play permanently at Dyche Stadium fell through, forcing the Bears to return to Wrigley for the remainder of the 1970 season. The team moved to Soldier Field in 1971.",https://en.wikipedia.org/wiki/Dyche_Stadium
"September 23, 1973",California Memorial Stadium ,Miami Dolphins url:https://en.wikipedia.org/wiki/1973_Miami_Dolphins_season,Oakland Raiders url:https://en.wikipedia.org/wiki/1973_Oakland_Raiders_season,The Raiders moved their game from the Oakland Coliseum url:https://en.wikipedia.org/wiki/Oakland_Coliseum to accommodate a larger crowd to see the defending Super Bowl VII champion Dolphins.,https://en.wikipedia.org/wiki/California_Memorial_Stadium
"October 22, 1989",Stanford Stadium ,New England Patriots url:https://en.wikipedia.org/wiki/1989_New_England_Patriots_season,San Francisco 49ers url:https://en.wikipedia.org/wiki/1989_San_Francisco_49ers_season,"Candlestick Park url:https://en.wikipedia.org/wiki/Candlestick_Park, the then-home of the 49ers, was damaged by the Loma Prieta earthquake.",https://en.wikipedia.org/wiki/Stanford_Stadium
"October 27, 2003",Sun Devil Stadium ,Miami Dolphins url:https://en.wikipedia.org/wiki/2003_Miami_Dolphins_season,San Diego Chargers url:https://en.wikipedia.org/wiki/2003_San_Diego_Chargers_season,Qualcomm Stadium url:https://en.wikipedia.org/wiki/Qualcomm_Stadium was being used as a major evacuation site during the Cedar Fire.,https://en.wikipedia.org/wiki/Sun_Devil_Stadium
"September 19, 2005",Giants Stadium ,New York Giants url:https://en.wikipedia.org/wiki/2005_New_York_Giants_season,New Orleans Saints url:https://en.wikipedia.org/wiki/2005_New_Orleans_Saints_season,"Hurricane Katrina url:https://en.wikipedia.org/wiki/Hurricane_Katrina forced the Saints out of New Orleans. The NFL decided that the Saints' first regularly scheduled home game against the Giants be played in New Jersey, with the Saints the home team in name only. For the rest of the season, the Saints played three games at the Alamodome and four games at LSU's Tiger Stadium (LSU) (see above).",https://en.wikipedia.org/wiki/Giants_Stadium
"December 13, 2010",Ford Field ,New York Giants url:https://en.wikipedia.org/wiki/2010_New_York_Giants_season,Minnesota Vikings url:https://en.wikipedia.org/wiki/2010_Minnesota_Vikings_season,"The Metrodome url:https://en.wikipedia.org/wiki/Hubert_H._Humphrey_Metrodome suffered severe damage on December 12 during a blizzard, in which the weight of the snow accumulated on its Teflon-coated roof tore it open. Because of the short notice, the game between the Giants and the Vikings was moved to Detroit's Ford Field, in part because the Giants did not pack any cold weather gear on their trip, expecting to play indoors, and because Fox Sports was able to keep all their broadcast equipment in place after the Packers/Lions game the day before. Because it would take longer than a week to repair the Metrodome, the Vikings' next home game against the Bears was instead held locally outdoors at TCF Bank Stadium.",https://en.wikipedia.org/wiki/Ford_Field
"December 20, 2010",TCF Bank Stadium ,Chicago Bears url:https://en.wikipedia.org/wiki/2010_Chicago_Bears_season,Minnesota Vikings url:https://en.wikipedia.org/wiki/2010_Minnesota_Vikings_season,"The Metrodome url:https://en.wikipedia.org/wiki/Hubert_H._Humphrey_Metrodome suffered severe damage on December 12 during a blizzard, in which the weight of the snow accumulated on its Teflon-coated roof tore it open. Because of the short notice, the game between the Giants and the Vikings was moved to Detroit's Ford Field, in part because the Giants did not pack any cold weather gear on their trip, expecting to play indoors, and because Fox Sports was able to keep all their broadcast equipment in place after the Packers/Lions game the day before. Because it would take longer than a week to repair the Metrodome, the Vikings' next home game against the Bears was instead held locally outdoors at TCF Bank Stadium.",https://en.wikipedia.org/wiki/TCF_Bank_Stadium
"November 24, 2014",Ford Field ,New York Jets url:https://en.wikipedia.org/wiki/2014_New_York_Jets_season,Buffalo Bills url:https://en.wikipedia.org/wiki/2014_Buffalo_Bills_season,"A massive blizzard in western New York forced the game to be moved from Buffalo's Ralph Wilson Stadium url:https://en.wikipedia.org/wiki/Ralph_Wilson_Stadium to Detroit, and postponed from Sunday to Monday night.",https://en.wikipedia.org/wiki/Ford_Field
