Team,Stadium,Years used,Capacity,Opened,Surface,Location,URL,lat,lon,Year_start,Year_end
Buffalo Bills,Bills Stadium ,1973–present,73079,1973,A-Turf Titan (2011–current) AstroPlay (2003–2010) AstroTurf url:https://en.wikipedia.org/wiki/AstroTurf (1973–2002),"Orchard Park, New York url:https://en.wikipedia.org/wiki/Orchard_Park_(town),_New_York",https://en.wikipedia.org/wiki/Bills_Stadium,42.773999999999994,-78.78699999999999,1973,present
Buffalo Bills,Rogers Centre ,2008–2013 (1 game yearly),54000,1989,FieldTurf url:https://en.wikipedia.org/wiki/FieldTurf,Toronto url:https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Rogers_Centre,43.64139,-79.38917,2008,2013 (1 game yearly)
Miami Dolphins,Hard Rock Stadium ,1987–present,65000,1987,Grass,"Miami Gardens, Florida url:https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",https://en.wikipedia.org/wiki/Hard_Rock_Stadium,25.95806,-80.23889,1987,present
New England Patriots (Boston Patriots),Gillette Stadium ,2002–present,66829,2002,FieldTurf (mid-2006–current) Grass (2002–mid-2006),"Foxborough, Massachusetts url:https://en.wikipedia.org/wiki/Foxborough,_Massachusetts",https://en.wikipedia.org/wiki/Gillette_Stadium,42.091,-71.264,2002,present
New England Patriots (Boston Patriots),Foxboro Stadium ,1971–2001,60292,1971,Grass (1991–2001) AstroTurf (197x–1990) Poly-Turf url:https://en.wikipedia.org/wiki/Poly-Turf (1971–197x),"Foxborough, Massachusetts url:https://en.wikipedia.org/wiki/Foxborough,_Massachusetts",https://en.wikipedia.org/wiki/Foxboro_Stadium,42.0927,-71.2674417,1971,2001
New York Jets (New York Titans),MetLife Stadium ,2010–present,82500,2010,FieldTurf,"East Rutherford, New Jersey url:https://en.wikipedia.org/wiki/East_Rutherford,_New_Jersey",https://en.wikipedia.org/wiki/MetLife_Stadium,40.813528000000005,-74.074361,2010,present
New York Jets (New York Titans),Giants Stadium ,1984–2009,79469,1976,FieldTurf (2003–2010) Grass (2000–2002) AstroTurf (1976–1999),"East Rutherford, New Jersey url:https://en.wikipedia.org/wiki/East_Rutherford,_New_Jersey",https://en.wikipedia.org/wiki/Giants_Stadium,40.81222,-74.07694000000001,1984,2009
Baltimore Ravens,M&T Bank Stadium ,1998–present,71008,1998,Grass (2016–present) Sportexe Momentum Turf (2003–2015) Grass (1998–2002),Baltimore url:https://en.wikipedia.org/wiki/Baltimore,https://en.wikipedia.org/wiki/M%26T_Bank_Stadium,39.278059999999996,-76.62278,1998,present
Baltimore Ravens,Memorial Stadium ,1996–1997,53371,1950,Grass,Baltimore url:https://en.wikipedia.org/wiki/Baltimore,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore),39.329440000000005,-76.60139000000001,1996,1997
Cincinnati Bengals,Paul Brown Stadium ,2000–present,65515,2000,Field Turf (2003–present) Grass (2000–2002),Cincinnati url:https://en.wikipedia.org/wiki/Cincinnati,https://en.wikipedia.org/wiki/Paul_Brown_Stadium,39.095,-84.516,2000,present
