away team,Home_team,attendance,Date,Season
Washington Redskins,Minnesota Vikings,57353.0,January 2,1992.0
Kansas City Chiefs,San Diego Chargers,58278.0,January 2,1992.0
Houston Oilers,Buffalo Bills,75141.0,January 3,1992.0
Philadelphia Eagles,New Orleans Saints,68591.0,January 3,1992.0
Buffalo Bills,Pittsburgh Steelers,60407.0,January 9,1992.0
Washington Redskins,San Francisco 49ers,64991.0,January 9,1992.0
Philadelphia Eagles,Dallas Cowboys,63721.0,January 10,1992.0
San Diego Chargers,Miami Dolphins,71224.0,January 10,1992.0
Buffalo Bills,Miami Dolphins,72703.0,January 17,1992.0
Dallas Cowboys,San Francisco 49ers,64920.0,January 17,1992.0
Buffalo Bills,Dallas Cowboys,98374.0,January 31,1992.0
Pittsburgh Steelers,Kansas City Chiefs,74515.0,January 8,1993.0
Green Bay Packers,Detroit Lions,68479.0,January 8,1993.0
Minnesota Vikings,New York Giants,75089.0,January 9,1993.0
Denver Broncos,Los Angeles Raiders,65314.0,January 9,1993.0
Los Angeles Raiders,Buffalo Bills,61923.0,January 15,1993.0
New York Giants,San Francisco 49ers,67143.0,January 15,1993.0
Green Bay Packers,Dallas Cowboys,64790.0,January 16,1993.0
Kansas City Chiefs,Houston Oilers,64011.0,January 16,1993.0
Kansas City Chiefs,Buffalo Bills,76642.0,January 23,1993.0
San Francisco 49ers,Dallas Cowboys,64902.0,January 23,1993.0
Dallas Cowboys,Buffalo Bills,72817.0,January 30,1993.0
Detroit Lions,Green Bay Packers,58125.0,December 31,1994.0
Kansas City Chiefs,Miami Dolphins,67487.0,December 31,1994.0
New England Patriots,Cleveland Browns,77452.0,January 1,1994.0
Chicago Bears,Minnesota Vikings,60347.0,January 1,1994.0
Cleveland Browns,Pittsburgh Steelers,58185.0,January 7,1994.0
Chicago Bears,San Francisco 49ers,64644.0,January 7,1994.0
Green Bay Packers,Dallas Cowboys,64745.0,January 8,1994.0
Miami Dolphins,San Diego Chargers,63381.0,January 8,1994.0
San Diego Chargers,Pittsburgh Steelers,61545.0,January 15,1994.0
Dallas Cowboys,San Francisco 49ers,69125.0,January 15,1994.0
San Diego Chargers,San Francisco 49ers,74107.0,January 29,1994.0
Miami Dolphins,Buffalo Bills,73103.0,December 30,1995.0
Detroit Lions,Philadelphia Eagles,66099.0,December 30,1995.0
Atlanta Falcons,Green Bay Packers,60453.0,December 31,1995.0
Indianapolis Colts,San Diego Chargers,61182.0,December 31,1995.0
Buffalo Bills,Pittsburgh Steelers,59072.0,January 6,1995.0
Green Bay Packers,San Francisco 49ers,69311.0,January 6,1995.0
Philadelphia Eagles,Dallas Cowboys,64371.0,January 7,1995.0
Indianapolis Colts,Kansas City Chiefs,77594.0,January 7,1995.0
Indianapolis Colts,Pittsburgh Steelers,61062.0,January 14,1995.0
Green Bay Packers,Dallas Cowboys,65135.0,January 14,1995.0
Dallas Cowboys,Pittsburgh Steelers,76347.0,January 28,1995.0
Jacksonville Jaguars,Buffalo Bills,70213.0,December 28,1996.0
Minnesota Vikings,Dallas Cowboys,64682.0,December 28,1996.0
Indianapolis Colts,Pittsburgh Steelers,58078.0,December 29,1996.0
Philadelphia Eagles,San Francisco 49ers,56460.0,December 29,1996.0
San Francisco 49ers,Green Bay Packers,60787.0,January 4,1996.0
Jacksonville Jaguars,Denver Broncos,75678.0,January 4,1996.0
Pittsburgh Steelers,New England Patriots,60188.0,January 5,1996.0
Dallas Cowboys,Carolina Panthers,72808.0,January 5,1996.0
Carolina Panthers,Green Bay Packers,60216.0,January 12,1996.0
Jacksonville Jaguars,New England Patriots,60190.0,January 12,1996.0
New England Patriots,Green Bay Packers,72301.0,January 26,1996.0
Minnesota Vikings,New York Giants,77710.0,December 27,1997.0
Jacksonville Jaguars,Denver Broncos,74481.0,December 27,1997.0
Miami Dolphins,New England Patriots,60041.0,December 28,1997.0
Detroit Lions,Tampa Bay Buccaneers,73361.0,December 28,1997.0
New England Patriots,Pittsburgh Steelers,61228.0,January 3,1997.0
Minnesota Vikings,San Francisco 49ers,65018.0,January 3,1997.0
Tampa Bay Buccaneers,Green Bay Packers,60327.0,January 4,1997.0
Denver Broncos,Kansas City Chiefs,76965.0,January 4,1997.0
Denver Broncos,Pittsburgh Steelers,61382.0,January 11,1997.0
Green Bay Packers,San Francisco 49ers,68987.0,January 11,1997.0
Green Bay Packers,Denver Broncos,68912.0,January 25,1997.0
Buffalo Bills,Miami Dolphins,72698.0,January 2,1998.0
Arizona Cardinals,Dallas Cowboys,62969.0,January 2,1998.0
New England Patriots,Jacksonville Jaguars,71139.0,January 3,1998.0
Green Bay Packers,San Francisco 49ers,66506.0,January 3,1998.0
