Home_team,Season,attendance,Week
Buffalo Bills,1992,79001,1
Washington Redskins,1992,63538,1
Tampa Bay Buccaneers,1992,41315,1
Seattle Seahawks,1992,57350,1
San Francisco 49ers,1992,74519,1
San Diego Chargers,1992,45024,1
Pittsburgh Steelers,1992,63713,1
Phoenix Cardinals,1992,41315,1
Philadelphia Eagles,1992,63513,1
New York Jets,1992,65585,1
New York Giants,1992,74519,1
New Orleans Saints,1992,63513,1
New England Patriots,1992,Bye,1
Minnesota Vikings,1992,58617,1
Miami Dolphins,1992,Bye,1
Los Angeles Rams,1992,79001,1
Los Angeles Raiders,1992,75418,1
Kansas City Chiefs,1992,45024,1
Indianapolis Colts,1992,50766,1
Houston Oilers,1992,63713,1
Green Bay Packers,1992,58617,1
Detroit Lions,1992,63672,1
Denver Broncos,1992,75418,1
Dallas Cowboys,1992,63538,1
Chicago Bears,1992,63672,1
Cleveland Browns,1992,50766,1
Atlanta Falcons,1992,65585,1
Cincinnati Bengals,1992,57350,1
Buffalo Bills,1992,80294,10
Washington Redskins,1992,53616,10
Tampa Bay Buccaneers,1992,49095,10
Seattle Seahawks,1992,53616,10
San Francisco 49ers,1992,67404,10
San Diego Chargers,1992,72826,10
Pittsburgh Steelers,1992,80294,10
Phoenix Cardinals,1992,40788,10
Philadelphia Eagles,1992,65388,10
New York Jets,1992,74678,10
New York Giants,1992,72038,10
New Orleans Saints,1992,45413,10
New England Patriots,1992,45413,10
Minnesota Vikings,1992,49095,10
Miami Dolphins,1992,59892,10
Los Angeles Rams,1992,40788,10
Los Angeles Raiders,1992,65388,10
Kansas City Chiefs,1992,72826,10
Indianapolis Colts,1992,59892,10
Houston Oilers,1992,57348,10
Green Bay Packers,1992,72038,10
Detroit Lions,1992,74816,10
Denver Broncos,1992,74678,10
Dallas Cowboys,1992,74816,10
Chicago Bears,1992,56120,10
Cleveland Browns,1992,57348,10
Atlanta Falcons,1992,67404,10
Cincinnati Bengals,1992,56120,10
Buffalo Bills,1992,70629,11
Washington Redskins,1992,75238,11
Tampa Bay Buccaneers,1992,69102,11
Seattle Seahawks,1992,46862,11
San Francisco 49ers,1992,64895,11
San Diego Chargers,1992,58396,11
Pittsburgh Steelers,1992,52242,11
Phoenix Cardinals,1992,58477,11
Philadelphia Eagles,1992,52689,11
New York Jets,1992,60196,11
New York Giants,1992,75269,11
New Orleans Saints,1992,64895,11
New England Patriots,1992,42631,11
Minnesota Vikings,1992,56726,11
Miami Dolphins,1992,70629,11
Los Angeles Rams,1992,63690,11
Los Angeles Raiders,1992,46862,11
Kansas City Chiefs,1992,75238,11
Indianapolis Colts,1992,42631,11
Houston Oilers,1992,56726,11
Green Bay Packers,1992,52689,11
Detroit Lions,1992,52242,11
Denver Broncos,1992,75269,11
Dallas Cowboys,1992,63690,11
Chicago Bears,1992,69102,11
Cleveland Browns,1992,58396,11
Atlanta Falcons,1992,58477,11
