URL,Attendance,Season
https://en.wikipedia.org/wiki/Super_Bowl_XXVII,"98,374",1992
https://en.wikipedia.org/wiki/Super_Bowl_XXVIII,"72,817",1993
https://en.wikipedia.org/wiki/Super_Bowl_XXIX,"74,107",1994
https://en.wikipedia.org/wiki/Super_Bowl_XXX,"76,347",1995
https://en.wikipedia.org/wiki/Super_Bowl_XXXI,"72,301",1996
https://en.wikipedia.org/wiki/Super_Bowl_XXXII,"68,912",1997
https://en.wikipedia.org/wiki/Super_Bowl_XXXIII,"74,803",1998
https://en.wikipedia.org/wiki/Super_Bowl_XXXIV,"72,625",1999
https://en.wikipedia.org/wiki/Super_Bowl_XXXV,"71,921",2000
https://en.wikipedia.org/wiki/Super_Bowl_XXXVI,"72,922",2001
https://en.wikipedia.org/wiki/Super_Bowl_XXXVII,"67,603",2002
https://en.wikipedia.org/wiki/Super_Bowl_XXXVIII,"71,525",2003
https://en.wikipedia.org/wiki/Super_Bowl_XXXIX,"78,125",2004
https://en.wikipedia.org/wiki/Super_Bowl_XL,"68,206",2005
https://en.wikipedia.org/wiki/Super_Bowl_XLI,"74,512",2006
https://en.wikipedia.org/wiki/Super_Bowl_XLII,"71,101",2007
https://en.wikipedia.org/wiki/Super_Bowl_XLIII,"70,774",2008
https://en.wikipedia.org/wiki/Super_Bowl_XLIV,"74,059",2009
https://en.wikipedia.org/wiki/Super_Bowl_XLV,"103,219",2010
https://en.wikipedia.org/wiki/Super_Bowl_XLVI,"68,658",2011
https://en.wikipedia.org/wiki/Super_Bowl_XLVII,"71,024",2012
https://en.wikipedia.org/wiki/Super_Bowl_XLVIII,"82,529",2013
https://en.wikipedia.org/wiki/Super_Bowl_XLIX,"70,288",2014
https://en.wikipedia.org/wiki/Super_Bowl_L,"71,088",2015
https://en.wikipedia.org/wiki/Super_Bowl_LI,"70,807",2016
https://en.wikipedia.org/wiki/Super_Bowl_LII,"67,612",2017
https://en.wikipedia.org/wiki/Super_Bowl_LIII,"70,081",2018
https://en.wikipedia.org/wiki/Super_Bowl_LIV,"62,417",2019
https://en.wikipedia.org/wiki/Super_Bowl_LV,,2020
