Stadium,lat,lon,Turf,Capacity,Season,Attendance,Week
Rose Bowl (stadium),34.161,-118.16799999999999,Grass,92542.0,1992,98374.0,SuperBowl
Georgia Dome,33.758,-84.40100000000001,Turf,71228.0,1993,72817.0,SuperBowl
Hard Rock Stadium,25.95806,-80.23889,Grass,75000.0,1994,74107.0,SuperBowl
Sun Devil Stadium,33.426390000000005,-111.9325,Grass,73379.0,1995,76347.0,SuperBowl
Mercedes-Benz Superdome,29.95083,-90.08111,Turf,73208.0,1996,72301.0,SuperBowl
SDCCU Stadium,32.78306,-117.11944,Grass,70561.0,1997,68912.0,SuperBowl
Hard Rock Stadium,25.95806,-80.23889,Grass,75000.0,1998,74803.0,SuperBowl
Georgia Dome,33.758,-84.40100000000001,Turf,71228.0,1999,72625.0,SuperBowl
Raymond James Stadium,27.97583,-82.50333,Grass,75000.0,2000,71921.0,SuperBowl
Mercedes-Benz Superdome,29.95083,-90.08111,Turf,73208.0,2001,72922.0,SuperBowl
SDCCU Stadium,32.78306,-117.11944,Grass,70561.0,2002,67603.0,SuperBowl
NRG Stadium,29.684720000000002,-95.41083,Turf,72220.0,2003,71525.0,SuperBowl
TIAA Bank Field,30.323890000000002,-81.6375,Grass,82000.0,2004,78125.0,SuperBowl
Ford Field,42.34,-83.04556,Turf,70000.0,2005,68206.0,SuperBowl
Hard Rock Stadium,25.95806,-80.23889,Grass,75000.0,2006,74512.0,SuperBowl
State Farm Stadium,33.528,-112.26299999999999,Grass,72200.0,2007,71101.0,SuperBowl
Raymond James Stadium,27.97583,-82.50333,Grass,75000.0,2008,70774.0,SuperBowl
Hard Rock Stadium,25.95806,-80.23889,Grass,75000.0,2009,74059.0,SuperBowl
AT&T Stadium,32.74778,-97.09278,Turf,105000.0,2010,103219.0,SuperBowl
Lucas Oil Stadium,39.760056,-86.16380600000001,Turf,70000.0,2011,68658.0,SuperBowl
Mercedes-Benz Superdome,29.95083,-90.08111,Turf,73208.0,2012,71024.0,SuperBowl
MetLife Stadium,40.813528000000005,-74.074361,Turf,82500.0,2013,82529.0,SuperBowl
State Farm Stadium,33.528,-112.26299999999999,Grass,72200.0,2014,70288.0,SuperBowl
Levi's Stadium,37.403,-121.97,Grass,75000.0,2015,71088.0,SuperBowl
NRG Stadium,29.684720000000002,-95.41083,Turf,72220.0,2016,70807.0,SuperBowl
U.S. Bank Stadium,44.974,-93.258,Turf,73000.0,2017,67612.0,SuperBowl
Mercedes-Benz Stadium,33.755559999999996,-84.4,Turf,71000.0,2018,70081.0,SuperBowl
Hard Rock Stadium,25.95806,-80.23889,Grass,64767.0,2019,62417.0,SuperBowl
Raymond James Stadium,27.97583,-82.50333,Grass,"65,618 or 75,000",2020,,SuperBowl
